,q1,q2,is_duplicate
4918,What type of fruit was introduced from Greece?,What is the name of the company in which Apple sells the Mac computer?,0
7428,What is the only type of plant that can reproduce indefinitely?,What is the only type of plant reproduction that can reproduce indefinitely?,1
3527,"What does the asterisk symbol next to the word ""Telnet"" in the address bar mean?",What is another name for the female reproductive organs?,0
6207,Which US city is the largest producer of uranium ore?,What country is Virgil from?,0
830,"Which of the following is not a type of fruit: apricot, apple or strawberry?",what kind of fruit is an apricot?,1
5819,What are the basic functions of a DNA molecule?,How is a zoologist described?,0
5869,Who was the first president of Nigeria?,Where was the Roman Emperor Vespasian born?,0
2703,What is the name of the Chinese restaurant in which the movie was based?,Who is the film based on?,1
5479,Where is the American University in Cairo?,"What is the name of the German-born, Swiss-based songwriter who was the first female solo artist to top the UK charts?",0
179,What is the name of the computer game created by Robert Silverberg?,What did the Swiss not invent?,0
1389,Why did the aristocracy go out of business?,Why did the aristocracy go out of business?,1
5370,How many people are there in the UK Army?,What's the name of the fictional space traveller in the tv series Stargate?,0
5511,What is the name of the country that has had the most earthquakes?,What does an adverb mean?,0
612,How many emirates does the United Arab Emirates have?,How many emirates are there in the United Arab Emirates?,1
6488,What is the name of the large river which flows through the centre of Cairo?,What is the name of the narrator in the story?,0
6308,What is the name of the body of water between the two islands?,What is a random fact about the saxophone?,0
1439,What is the name of the long question in the game of Monopoly?,What is a long-term financial planning game similar to Monopoly called?,1
2081,What are two examples of symbiotic relationships?,What is the name of the song that topped the charts in the UK in 1984?,0
4554,What is the name of the area located in North America and Europe where grapes are harvested?,What is the name of the fictional city in which a fictitious inventor named Elon Musk created a new type of engine?,0
277,What is the name of the song played during the opening credits of Star Wars Episode IV: A New Hope?,How is a sperm cell formed?,0
6282,What is a random question?,What was the name of the first satellite launched by the Soviet Union?,0
5018,What was the name of the movie that introduced this series to America?,What is the name of the city inhabited by the Wendigos?,1
2431,What is one thing you could do with a saxophone?,"What type of game was ""Locomotion""?",1
2724,What is the name of the dog that accompanied Queen Victoria on her visit to Ireland in June 1840?,What is the name of the main character in the fairy tale?,0
5714,"Which of the following is not a form of music: jazz, classical, or ragtime?",What is the name of the hippopotamus who is used in the creation myth of Cleopatra?,0
7636,How did Paul VI describe his relationship with the Pope?,what is the relationship between plants and animals called?,1
6571,What is the name of the country on the ring of the planet Mars?,What kind of creature is a hyena?,0
1023,What type of creature is a mongoose?,What is the name of the river that is said to be at the center of a circle of life?,0
1000,What word is used for a random sentence?,"What is the name of the first atomic-powered aircraft, with its own landing field, launched in 1903?",0
516,"Which of the following is not a type of dish: salad, pie, or cheesecake?",What are examples of dishes that are not considered a main course?,1
6698,What is one of the benefits of living in a city?,what are the benefits of living in a city?,1
6573,What is a random long question?,What is the name of the first and longest uninterrupted sequence of words?,1
161,What are the different parts of the eye called?,Where did the US invade in 1812?,0
2592,What word begins with C?,How many stars are there on the flag of Kazakhstan?,0
6132,What was the name of the cat featured in the 'Atomic Kitten' TV series?,What type of creatures were the Sphinx and the Hyacinthus?,0
4342,What is the name for a word that contains the letter B and is capitalized?,What is the name of the game in which players assume the roles of characters who appear in a story?,0
6777,What was the name of the ship that sank the Achilles?,What are the names of the letters that make up the words in Morse code?,0
607,What is the name of the trident with two prongs in the center of a bowtie?,What is the name of the group of birds that is found in the savannah?,0
7496,What is the only way to get through to the next round in the first round of a competition?,What is the only way to go through to the next round in the first round of the competition?,1
204,Where did a large group of anthropologists spend time?,Why did the anthropologists do this?,1
3876,What is the name of the horse who is the companion of the Princess of Wales?,What are the last 3 letters of the Greek alphabet?,0
5077,What does a neologism refer to?,What was the name of the zeppelin that carried the first British visitors to Australia?,0
3324,What type of animal is the rhinoceros?,What type of animal is a rhinoceros?,1
5504,Where was the first nativity play held?,Where did the ancient Greeks find the city of Delphi?,0
2212,What kind of questions does the writer ask in the opening paragraph?,What does the writer ask?,1
6514,How can you tell if a text message is a fake?,What is the main way to know a text message is a fake?,1
4580,What is the name of the person in a satirical cartoon strip?,What is the only country that is completely surrounded by water?,0
6753,What is the name of the ostrich that is considered to be the fastest land animal in the world?,"What does the Latin prefix ""post-"" mean?",0
5006,What did King George VI enact that was later known as the Statute of Westminster?,What type of animal is a giraffe?,0
2709,What would you need if you wanted to travel around the world on a bike?,what do you need to go on a bike ride?,1
95,What type of rover does Nasa have?,What did Paul VI appoint to the High Council of the Church of England in November 1662?,0
3211,What is the longest river on earth?,What was the name of the enclave in Guantanamo Bay created by US forces?,0
7955,What was the name of the character who became a member of the gang?,How many rs. are in a shilling?,0
4511,How did Henry VII's aristocratic family spend their free time?,Who did the aristocratic family of Henry VII spend their free time with?,1
7026,How many 'electoral college' members are there?,What is the capital city of Switzerland?,0
2168,Who invented the telephone?,Where does the body heat of the human body come from?,0
7785,How is the term 'geographical referencing' used in the UK?,Who was the first to find Venus?,0
373,What is the first line of the poem?,How many square miles is the area of land in Britain called Great Britain?,0
5723,What is the name of the person who is not allowed to speak unless he is part of the royal family?,Who was Prince Philip's father?,1
7146,Which was the first country to establish a state university?,Who was the first country to establish a state university?,1
1396,What is the name for the person in charge of running a government?,How many tuples does each player start with?,0
2678,What are hymens called?,What is the name of the fictional country where the majority of the population is made up of immigrants?,0
45,What is the title of the 'Dictionary of the Ages'?,What is the name of the area in which the new building is located?,0
506,What is the name for the process of converting from a fixed-point representation of a vector to a real-valued vector?,How is a vector in a finite state machine usually expressed?,1
3694,What is the name for a random question in a quiz or test?,What was 'Roy's' real name?,0
120,Where are most polar bears found in the world?,"Which of the following is not a type of musical instrument: string, wind, brass, or woodwind?",0
4283,What is another name for the twelfth letter of the Greek alphabet?,What does the c-word mean?,1
1600,Who was the founder of the Roman Catholic church?,What is the name of the country in which the US is located?,0
2542,What is the name of the river that runs through Bermuda?,Where did the first European contact with Australia take place?,0
3894,What are the names of the two main characters in the story of The Chronicles of Narnia?,What is the name of the main character of The Hunger Games?,0
1106,What is the name of the fictional country in the Harry Potter stories?,Where is Harry Potter located?,1
7662,How long was Queen Victoria's reign?,How long did Queen Victoria reign?,1
6062,Where did Jesus eat his Last Supper?,"Which character from the book ""The Lord of the Rings"" starred in the movie ""Seven Samurai""?",0
3392,What is the name of the drug used to treat pain and other symptoms of Parkinson's disease?,What is the name of the place where the original inhabitants of the Maltese Islands live?,0
4484,What's the name of the character created by JK Rowling?,Where was Albus Dumbledore born?,1
1665,Who was King of the Franks?,What is the term for a group of people who are unable to see eye to eye with each other?,0
6574,What is the most common type of creature that is found in Bermuda?,What is the most common language spoken in Switzerland?,0
1823,How does one make a slang term?,What did the name come from?,0
5543,What is the first name of the sculptor known as the King of Carthage?,Where was the statue of Zeus located that was found in the sanctuary of the Temple of Apollo?,0
5619,What was the name of the character created by Carl Barks to advertise his dog shampoo?,How is the word 'queen' used in a newspaper article?,0
5442,What is the first name of the female character played by Janet Jackson?,What is the name of the person who is asked to perform the task of a random selection?,0
5569,What is the name of the game in which people are assigned a score of zero and the goal is to reach a score of 100?,"What is the only thing in the world that has the smallest carbon footprint of the three primary pollutants, carbon dioxide, sulfur dioxide and nitrogen?",0
6187,What is the name of the character portrayed by George Clooney in The Wolf of Wall Street?,Who did Madonna have sex with at the wedding?,1
6315,What is the name of the zoo in the 'Harry Potter' series of books?,What is the name of the zoo in the Harry Potter series of books?,1
604,What is the name of the city in which the Royal Military Academy Sandhurst is located?,Where is Sandhurst Royal Military Academy located?,1
6476,How are the lungs grouped in the human body?,What is the name of the game that was played with a team of people on two boards?,0
1608,What is the most common type of animal that people come into contact with everyday?,What animal is the most common in people's daily lives?,1
340,Where would I find the Alps?,How many squares is a standard game board?,0
6482,What is the name for a person who has an unbalanced diet?,How does an insect produce eggs?,0
1572,What do people do with a large ram?,What kind of question was this?,0
4030,What is the earliest record of humans living on Earth?,How many letters are in the Greek alphabet?,0
998,What's the simplest example of the difference between an invertebrate and a vertebrate?,What is the main difference between invertebrates and vertebrates?,1
3290,What are the two main forms of transportation in the city?,How are the Greek characters arranged in the traditional alphabet?,0
2175,What is the name of the space shuttle that launched in December 1981?,What kind of dog is Buddy?,0
2267,What is a random variable?,How many tyres are in an average car?,0
5954,"What does the Latin word ""prosa"" mean?",What does prosa mean?,1
2744,What is the name of the group of people who do the cooking and cleaning?,How many points does each team score?,0
7134,How many atoms make up one gram of lead?,How many atoms are in 1 gram of lead?,1
5472,What is the name of the character who dies?,Where did the US Army supposedly conduct a raid on?,0
4024,Where was the first world war fought?,Where is the Alps?,0
704,What can one's body become if one dies from a pulmonary embolism?,What can be used to describe something that is not made of paper?,0
2039,How did Virgil get the Trojan Horse?,What does Virgil give Aeneas for free?,1
4793,What is a common name for the organ of the human body?,What is a new term that is brought into use in 1834?,0
4749,Where does the food pyramid come from?,What type of flower is the tulip?,0
6962,What are the first words of the title of the second chapter of John?,What is the name of the first major game of the Scrabble game?,0
3946,How is a person who is a zoologist classified?,What do most'sympathizers' believe about Stalin?,0
3216,"What is a ""random"" long question?",How is the random question formed?,1
490,Why was the government decentralized?,Why did the government become decentralized?,1
4450,What was the name of the horse that won the Grand National?,Where do you get the most vitamin C?,0
860,Where is the second longest river in the world?,"What can be a noun, verb, adjective or adverb?",0
6203,"What is the name of the triad that consists of the trio of a man and two women, a sexy Frenchman, a Germanic man, and an English woman?",What does the Latin for 'wrestle' mean?,0
2294,What is the full name of the fictional character of The Simpsons?,How is Lisa related to Marge?,1
86,What is the name of the largest city in Tennessee?,What is the largest island in Bermuda?,0
5088,What is another name for a type of arousal?,Why did the women change the spelling of the word arousal?,1
2002,Where was the 'first 'Olympic' held?,What do fungi do?,0
6114,Who is responsible for a person's emotions?,How is the ozone layer created?,0
4568,Why do some dogs hate Christmas?,Why are there dogs who are very grumpy and don't like Christmas?,1
6467,What is the name of the main character in the film 'The Princess Bride'?,"Which is not a last name, Smith or Aquitaine?",0
452,What are the characters in the story 'The Devil and Daniel Webster' called?,How did the Russians take over Crimea?,0
4766,What is the name of the company that produces clothes for the Roman Empire?,What does the symbiotic relationship between a bacterium and its fungus look like?,0
858,How did you first hear about it?,What type of question is this?,0
6863,Which planet is located between Saturn and Uranus?,Where is the fourth planet in our solar system?,1
1558,What was the name of the game in which players raced to fill the board with cards?,Which game is also called Chess?,1
5929,What is a common term for the physical relationship between two objects?,What did Virgil write about Achilles?,0
7456,"How many words can you use that rhyme with the word ""throw""?","how many words can you use that rhyme with the word ""throw""?",1
2223,What does the adjective gypsy mean?,"What does the Latin term ""secutor"" mean?",0
5406,What does a long question answer?,What does a long question answer?,1
5839,What type of question did the survey take?,What is a random fact about New Jersey?,0
786,How would you describe the tone of the music?,What is the name for the floppy disks that are found on PCs?,0
3512,What was the name of the horse that won the Grand National in 1865?,Where did this person work before?,0
2252,How would you describe Charles Dickens?,What is the name of the dog in the book The Jungle Book?,0
4823,Which country was the first to develop the first motorised telephone system?,What country invented the first motorized telephone?,1
4326,What is the name of the female character that is the only one to have a full body tattoo on the first season of American Idol?,What is the name of the group of friends that a man can meet in a bar?,0
2167,What is the name of the city in which Shakespeare's plays are performed?,What does each of the five basic elements have?,0
1020,How is it that a person gets to be a doctor?,"In addition to medical school, what else must a person do in order to get to be a doctor?",1
4722,Who was the first president to be assassinated?,Who assassinated President James A. Garfield?,1
571,What is the currency of Nigeria?,What was the name of the pigeon that stayed in a pigsty in a barn?,0
5447,What is the name of the main city in Mali?,How did Queen Mary die?,0
1234,What did John Milton write that inspired his hymn?,Where did the book of Judith come from?,1
3192,What is the relationship between the human brain and its physical structure?,Which country was the first to send military personnel into space?,0
6542,What did the earliest settlers of the Americas do with the animals they captured?,what did the earliest settlers in the americas do with the animals they caught?,1
4595,What is the longest word in the English language?,How long is the longest word in the English language?,1
1654,What is the national dish of France?,Which planet was discovered to have liquid water on its surface in 1837?,0
3701,What was the name of the gang leader arrested after the massacre at the concert?,who was arrested after the concert massacre?,1
7260,Where is the largest remnants of the ice core found?,Where is the Arctic Circle?,1
1534,"What is the name of the fictional character, who was a teacher's aide to the Emperor in ancient China?","What city is referred to as ""the Venice of the East""?",1
415,How did he die?,What is the national currency of Mexico?,0
5331,"Which one of the following is not a form of physical contact: touch, touch and hold, or touch and stare?",what does touch and stare mean?,1
3422,What does the narrator think happened to the dinosaurs?,What does the narrator believe is the cause of dinosaurs extinction?,1
1435,What is a random number generator?,What is a form of a non-human animal that has a sex organ?,0
6907,What is the name of the character in the Harry Potter series who can move broomsticks?,What is the name of Harry Potter's father?,1
397,How many times has the word 'It' been used in the first four syllables of a word?,What's the most common alcoholic drink in the world?,0
391,How much is a pound of sugar in metric?,How is the city of Venice divided?,0
4320,How did King Edward VII die?,What is the name of the tin with a glass bowl in it that is a part of a tea ceremony?,0
6252,What was the first type of computer sold to consumers?,What was a random question?,0
3974,What are you looking at?,What are you looking at now?,1
3212,What is the first country listed?,"Which country is the first to come to mind when you hear the word ""Alpine""?",1
1483,What is the name of the long question thrown at contestants by The X Factor judges?,What does the boot mean?,1
6429,What is the name of the game in which a player attempts to get a point by hitting the other team's goalkeeper with a puck?,What is the name of the first person in the Bible?,0
1322,Where do the animals migrate to when winter comes?,What is the name for the arbitrary set of digits added to the end of a number to make it divisible by 100?,0
552,How many letters are in the Latin alphabet?,What kind of food was the king of the United States known for cooking?,0
1585,"What is the name of the long, random question?",What Do You Know?,1
3250,What was the name of the character played by Sean Connery in the 1963 film 'The Great Escape'?,What is the name of the game that requires players to take turns to throw a frisbee?,0
2014,What is the name of the musical instrument that has two strings attached to the body of the instrument?,what is the name of the musical instrument with six strings?,1
1740,Where does a male elk live?,Where did Victoria and Albert live at the time of Victoria's death?,0
4780,What is another name for a game of chance?,What is another name for a game of chance?,1
4336,Where was the king's son born?,"What is the only one of the following not a European country: England, Ireland, Germany, Switzerland, Norway, Denmark, or Sweden?",0
3200,What do all living things that are alive and able to reproduce have in common?,What do all living things have in common?,1
4505,What can you get by eating only one egg?,What did the narrator want to do when he was younger?,0
7518,What is the name of the German city where the annual Oktoberfest is held?,What word describes something with a very small or absent value?,0
6196,What does the name of the place of execution come from?,What is a random question?,0
1672,How many species of vertebrates can be found on Earth?,What are the names of the tens of thousands of pharaohs that lived from ancient times to the early 19th century?,0
2562,What country is on the island?,Who is a famous female composer?,0
6323,What was the name of the book published in 1876 by Edward Gibbons?,what king was richard iii?,1
3939,What was the name of the gang member who attacked Prince Charles and Camilla Parker Bowles in London in 1997?,What is the name of the computer language used to describe how to write a computer program?,0
2496,What is another name for the human stomach?,"What is the name of the famous Russian composer, theorist, and musical historian?",0
4589,What kind of question is this?,How would you describe the relationship between God and humans?,1
6319,How many people did Ibn Sina have?,what is the largest group of people ever sent into exile?,1
7097,What does a neurologist specialize in?,What is a neurologist?,1
3144,How can we be more environmentally friendly?,How can we be more environmentally friendly?,1
4599,What is one thing you can do for a long time without putting in much effort?,What did the children do to celebrate the holiday?,1
6225,What was the name of the character played by Brad Pitt?,How old is John Cena when he started working on Saturday Night Live?,0
1520,"What is the name of the song from the film Footloose, where Elvis Costello's character is a disc jockey?",What is the name of the system in a computer's RAM which is used for storing temporary data?,0
4654,What was the most recent year that Queen has won a record ten British chart awards?,Who was the first to resign from the National Security Council?,1
724,What are you?,What are you?,1
3416,What is a random word that uses a single letter?,"""""""Quality"""""" is another example of a what?",1
995,What is the most common method of making cotton?,How is the name of the Earth's axis of rotation generally referred to?,0
817,What is the name of the man that does not know what is happening?,What is the name of the man who does not know what is happening?,1
6317,What is the name of the short worm found in a human's eye?,What is the name of the worm that feeds on organic material in a fungus called Aspergillus niger?,1
6752,What is the shortest distance between any two points on Earth?,"What is the name of the animal found in the intestines of many mammals, reptiles, and birds?",0
4173,"What is the name of the symphony orchestra that plays in the famous Halle, Germany?",What is the name of the symphony orchestra that plays in the famous Halle in Germany?,1
5985,How do we get to know God?,What was the last letter of the Greek alphabet?,0
6713,"What does ""seizure"" mean?",Why were the monks unable to conceive children?,0
2074,What was the name of the game show that featured the celebrity contestants of the early 1990s?,What is the smallest amount of money a person can lose in a lifetime?,0
7174,How many people died on the Titanic?,How many people died in the Titanic?,1
5051,What did the Romans call Britain?,What was the name of the ship that sailed for Asia in the 15th century?,0
5514,What is the name of the game in which contestants have to solve problems with a mathematical solution?,What is the largest fish that has a mouth?,0
2676,How did Victoria and Albert die?,How did Victoria and Albert die?,1
7637,How many atoms are in one molecule of alcohol?,What is a common form of transport between the two continents?,0
6343,What kind of animal is a kangaroo?,What is the title of the third book in The Lord of the Rings?,0
897,How many digits are in the number 26?,Why did some people travel to New York for the first time?,0
5880,Where is the Xinjiang Autonomous Region located?,What is the world's largest manufacturer of paper products?,1
5316,What does a random word generator do?,What was the name of the lion in the Disney film Lion King?,0
3159,"What is the title of a story about a group of people with varying abilities, some of whom are criminals?",What was the name of the movie?,1
80,What word beginning with G is the longest?,What letter is the longest in the English language?,1
5791,What was the first language spoken by the majority of the Native Americans living on the East Coast?,What is the main ingredient of Chinese cuisine?,0
6668,How does one eat a 'naan'?,what is the main course?,1
698,What is a random long question?,What is a random long question?,1
5583,Who is the most likely to be murdered if one escaped the death penalty?,Why did the Pharisees resent Jesus' teaching?,1
4412,What are the five elements?,What is the name of the book written by Avicenna that first outlined his theories on karma?,0
6795,How do you know that a horse can fly?,What did William Shakespeare do?,0
5366,How many of the letters of the alphabet are consonants?,What is a random word?,0
1186,What do you call the term of the year prior to the year that you are born?,What is the name of the book by Albert Camus?,0
3008,Where was the first university in Nigeria located?,What university is the aforementioned located at?,1
7255,What is the national capital of the Netherlands?,Where in the body are the ovaries?,0
979,What type of creature was the earliest known human?,Why are humans thought to be the most complex of all living things?,1
7902,How many thorns are there in the typical dandelion?,What is the main difference between the ostrich and the zebra?,0
1724,What is the name of the main road of the city?,What is a random fact about the US?,0
2748,What is the name of the'stuff' on a sphere?,What is the name of the fictional country in Harry Potter?,0
5498,What do Americans call the sailor?,Where did the original Star Trek film take place?,0
2547,What is the name of the fictional character that first appeared in The Hitchhiker's Guide to the Galaxy?,Who did the narrator love?,1
6446,Who did he have a brief relationship with?,What is the name of the fictional island in the story?,0
7312,What do we call the group of organisms that are all related to each other?,What is the name of the group that was formed by Michael Jackson and Freddie Mercury?,0
522,What does the prefix oo- mean in English?,What does the  (zh) character represent in Chinese?,0
1153,Where do the white stripes on the flag come from?,What type of person does this story describe?,0
3288,Why did they stop making their old machines?,Why did some countries end up getting more modern machines?,1
6912,What was the name of the first satellite to orbit the earth?,Which country did the French army attack in 1830?,0
7483,How many characters are in The Hobbit?,How many characters in The Hobbit?,1
3692,What is a famous example of a heuristic that is used in a game?,How long do you have to wait for your turn?,1
6361,What is a random long question?,What is a Random Long Question?,1
2400,Who was the last king of England to be executed?,Which British monarch was born at Whitehall in 1630?,1
5949,How does the brain store knowledge?,How many chromosomes does an organism usually have?,0
5808,What is the name of the fictional character in The Lord of the Rings?,"Who was appointed the first leader of the Soviet Union on October 5, 1991?",0
3371,Who is the oldest person who lived in Britain during the 21st Century?,Who is oldest living person?,1
1437,What was the name of the new dog that Beyonce got for herself?,What are the two largest cities in Nigeria?,0
5658,What is the name of the dog in The Jungle Book?,How are Shere Khan and Ghulam Nabi related?,1
